;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/research/description/comm_hub_lvl_5;Optimizing the Communications Hub to maintain a stronger connection and allow more data bandwidth;;;;Optimierung des Kommunikationsknotens zur Aufrechterhaltung einer stärkeren Verbindung und zur Ermöglichung einer höheren Datenbandbreite;;;优化通信中心以维持更强的连接并提供更多数据带宽;;
gui/menu/research/description/coolants;Production of specialized coolant liquids;;;;Herstellung spezieller Kühlflüssigkeiten;;;生产专用冷却液;;
gui/menu/research/description/coolants_lvl_2;More complex chemical processing gives access to production of more powerful coolants;;;;Komplexere chemische Verfahren ermöglichen die Herstellung leistungsfähigerer Kühlmittel;;;更复杂的化学加工可生产更强大的冷却剂;;
gui/menu/research/description/coolants_lvl_3;Optimization of coolant production processes for maximum yield;;;;Optimierung der Kühlmittelherstellungsprozesse für maximale Ausbeute;;;优化冷却剂生产工艺以获得最大产量;;
gui/menu/research/description/cryo_technology_lvl_2;Improved harnessing of ferdonite allows even more effective application of specialized ground cooling. This creates larger areas usable for buildings in magma biome;;;;Eine verbesserte Nutzung von Ferdonit ermöglicht eine noch effektivere Anwendung spezieller Bodenkühlung. Dadurch entstehen größere Flächen, die im Magma-Biom für Gebäude genutzt werden können;;;改进的铁白云石利用使得更有效的地面冷却应用成为可能。这在岩浆生物群系中创造了更大的可建筑区域;;
gui/menu/research/description/crystalizer_ferdonite;Crystallizes Ferdonite from Carbonium and Water. Requires carbonium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Ferdonit aus Carbonium und Wasser. Benötigt Carbonium-Vorkommen als Kristallkeim, verbraucht das Vorkommen jedoch nicht.;;;从碳和水结晶出铁白云石。需要碳矿床作为晶种，但不消耗矿床。;;
gui/menu/research/description/crystalizer_ferdonite_lvl2;Crystallizes Ferdonite from Carbonium Water and Super-coolant Requires carbonium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Ferdonit aus Carbonium, Wasser und Superkühlmittel. Benötigt Carboniumvorkommen als Kristallkeim, verbraucht das Vorkommen jedoch nicht.;;;从碳、水和超级冷却剂中结晶出铁白云石。需要碳矿床作为晶种，但不消耗矿床。;;
gui/menu/research/description/crystalizer_ferdonite_lvl3;Crystallizes Ferdonite from Carbonium Water and Super-coolant Requires carbonium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Ferdonit aus Carbonium, Wasser und Superkühlmittel. Benötigt Carboniumvorkommen als Kristallkeim, verbraucht das Vorkommen jedoch nicht.;;;从碳、水和超级冷却剂中结晶出铁白云石。需要碳矿床作为晶种，但不消耗矿床。;;
gui/menu/research/description/crystalizer_hazenite;Crystallizes Hazenite from Ironium and Fluorine. Requires ironium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Hazenit aus Ironium und Fluor. Benötigt Ironiumvorkommen als Kristallkeim, verbraucht das Vorkommen jedoch nicht.;;;从铁和氟中结晶出黑森矿。需要铁矿床作为晶种，但不消耗矿床。;;
gui/menu/research/description/crystalizer_hazenite_lvl2;Crystallizes Hazenite from Ironium Fluorine and Reagent. Requires ironium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Hazenit aus Ironium, Fluor und Reagenz. Benötigt Ironium-Vorkommen als Kristallkeim, verbraucht das Vorkommen jedoch nicht.;;;从铁、氟和试剂中结晶出黑森矿。需要铁矿床作为晶种，但不消耗矿床。;;
gui/menu/research/description/crystalizer_hazenite_lvl3;Crystallizes Hazenite from Ironium Fluorine and Reagent. Requires ironium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Hazenit aus Ironium, Fluor und Reagenz. Benötigt Ironium-Vorkommen als Kristallkeim, verbraucht das Vorkommen jedoch nicht.;;;从铁、氟和试剂中结晶出黑森矿。需要铁矿床作为晶种，但不消耗矿床。;;
gui/menu/research/description/crystalizer_rhodonite;Crystallizes Rhodonite from Ironium and Fluorine. Requires carbonium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Rhodonit aus Ironium und Fluor. Benötigt Carbonium-Vorkommen als Kristallkeim, verbraucht das Vorkommen jedoch nicht.;;;从铁和氟中结晶出蔷薇辉石。需要碳矿床作为晶种，但不消耗矿床。;;
gui/menu/research/description/crystalizer_rhodonite_lvl2;Crystallizes Rhodonite from Ironium Fluorine and Nitric Acid. Requires carbonium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Rhodonit aus Ironiumfluorid und Salpetersäure. Benötigt Carbonium-Vorkommen als Kristallkeim, verbraucht das Vorkommen jedoch nicht.;;;从铁、氟和硝酸中结晶出蔷薇辉石。需要碳矿床作为晶种，但不消耗矿床。;;
gui/menu/research/description/crystalizer_rhodonite_lvl3;Crystallizes Rhodonite from Ironium Fluorine and Nitric Acid. Requires carbonium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Rhodonit aus Ironiumfluorid und Salpetersäure. Benötigt Carbonium-Vorkommen als Kristallkeim, verbraucht das Vorkommen jedoch nicht.;;;从铁、氟和硝酸中结晶出蔷薇辉石。需要碳矿床作为晶种，但不消耗矿床。;;
gui/menu/research/description/crystalizer_tanzanite;Crystallizes Tanzanite from Ammonium and Flammable Gas. Requires ammonium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Tansanit aus Ammonium und brennbarem Gas. Benötigt Ammonium-Vorkommen als Kristallkeim, verbraucht das Vorkommen jedoch nicht.;;;从铵和可燃气体中结晶出坦桑石。需要铵矿床作为晶种，但不消耗矿床。;;
gui/menu/research/description/crystalizer_tanzanite_lvl2;Crystallizes Tanzanite from Ammonium Flammable Gas and Plasma. Requires ammonium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Tansanit aus Ammonium, brennbarem Gas und Plasma. Benötigt Ammoniumablagerung als Kristallkeim, verbraucht die Ablagerung jedoch nicht.;;;从铵、可燃气和等离子体中结晶出坦桑石。需要铵矿床作为晶种，但不消耗矿床。;;
gui/menu/research/description/crystalizer_tanzanite_lvl3;Crystallizes Tanzanite from Ammonium Flammable Gas and Plasma. Requires ammonium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Tansanit aus Ammonium, brennbarem Gas und Plasma. Benötigt Ammoniumablagerung als Kristallkeim, verbraucht die Ablagerung jedoch nicht.;;;从铵、可燃气和等离子体中结晶出坦桑石。需要铵矿床作为晶种，但不消耗矿床。;;
gui/menu/research/description/deep_ionization;High energy physics allows the production of deeply ionized plasmas with strong electrical charge;;;;Hochenergiephysik ermöglicht die Erzeugung von stark ionisierten Plasmen mit hoher elektrischer Ladung;;;高能物理学允许生产具有强电荷的深度电离等离子体;;
gui/menu/research/description/deep_ionization_lvl_2;Advanced techniques allow production of even deeper ionized plasmas carrying extreme charge;;;;Fortschrittliche Techniken ermöglichen die Erzeugung von noch stärker ionisierten Plasmen mit extremer Ladung;;;先进技术允许生产携带极端电荷的更深电离等离子体;;
gui/menu/research/description/deep_ionization_lvl_3;Production of super hot plasmas with total atomic ionization. Any more energy and the plasma becomes unstable with fusion reactions emerging.;;;;Erzeugung extrem heißer Plasmen mit vollständiger atomarer Ionisierung. Bei noch höherer Energie wird das Plasma instabil und es kommt zu Fusionsreaktionen.;;;生产具有完全原子电离的超热等离子体。再增加能量，等离子体将变得不稳定，出现聚变反应。;;
gui/menu/research/description/depleted_uranium_high_caliber_shells;Depleted Uranium allows the manufacturing of more effective high density shells for high caliber weapons;;;;Abgereichertes Uran ermöglicht die Herstellung wirksamerer Geschosse mit hoher Dichte für großkalibrige Waffen;;;贫铀可以制造更有效的高密度大口径武器炮弹;;
gui/menu/research/description/depleted_uranium_high_caliber_shells_lvl_2;Improvements for the production of depleted uranium munitions that allow a more efficient production line with higher output;;;;Verbesserungen bei der Herstellung von Munition aus abgereichertem Uran, die eine effizientere Produktionslinie mit höherer Ausbeute ermöglichen;;;改进贫铀弹药的生产，实现更高效的生产线和更高的产量;;
gui/menu/research/description/depleted_uranium_low_caliber_shells;Depleted Uranium allows the manufacturing of more effective high density rounds for low caliber weapons;;;;Abgereichertes Uran ermöglicht die Herstellung wirksamerer Geschosse mit hoher Dichte für kleinkalibrige Waffen;;;贫铀可以制造更有效的高密度小口径武器子弹;;
gui/menu/research/description/depleted_uranium_low_caliber_shells_lvl_2;Improvements for the production of depleted uranium munitions that allow a more efficient production line with higher output;;;;Verbesserungen bei der Herstellung von Munition aus abgereichertem Uran, die eine effizientere Produktionslinie mit höherer Ausbeute ermöglichen.;;;改进贫铀弹药的生产，实现更高效的生产线和更高的产量;;
gui/menu/research/description/energy_connector_eluminated;Energy connectors with illumination functionality. Comes with basic color variants;;;;Energieverbinder mit Beleuchtung. Kommt mit verschieden Farbvariationen;;;;;
gui/menu/research/description/fire_control_station;This technology surveys the surroundings for threats and enables intelligent defense buildings control to save resources;;;;Diese Technologie überwacht die Umgebung auf Bedrohungen und ermöglicht eine intelligente Steuerung von Verteidigungsgebäuden, um Ressourcen zu sparen.;;;这项技术监视周围环境的威胁，并实现智能防御建筑控制以节省资源;;
gui/menu/research/description/fire_control_station_artillery;Powers up/down long range artillery towers depending on if enemies are in vicinity or not. Much wider detection range then regular fire control stations;;;;Schaltet Langstrecken-Artillerietürme ein oder aus, je nachdem, ob sich Feinde in der Nähe befinden oder nicht. Viel größerer Erfassungsbereich als bei herkömmlichen Feuerleitstellen.;;;根据附近是否有敌人来启动/关闭远程炮塔。检测范围比普通火力控制站大得多;;
gui/menu/research/description/floating_power_connectors;Specialized energy connectors floating on the surface of liquids enabling to expand the power grid over any kind of lakes;;;;;;;;;
gui/menu/research/description/fluorine_capture;Technology to capture atmospheric fluorine;;;;Technologie zur Abscheidung von Fluor aus der Atmosphäre.;;;捕获大气中氟的技术;;
gui/menu/research/description/fluorine_capture_lvl_2;Adapted fluorine capture method for fluorine rich biomes;;;;Angepasste Methode zur Fluorabscheidung für fluorreiche Biome.;;;适用于富含氟的生物群系的改进氟捕获方法;;
gui/menu/research/description/fluorine_capture_lvl_3;Advanced process using natural hazenite for higher yield capture of atmospheric fluorine gas.;;;;Fortschrittliches Verfahren unter Verwendung von natürlichem Hazenit für eine ertragreichere Abscheidung von Fluorgas aus der Atmosphäre.;;;使用天然黑森矿的高级工艺，用于更高产量地捕获大气氟气。;;
gui/menu/research/description/gas_filtering_lvl2;Gas Filtering 2;;;;Gasfilterung 2;;;气体过滤2级;;
gui/menu/research/description/gas_filtering_lvl3;Gas Filtering 3;;;;Gasfilterung 3;;;气体过滤3级;;
gui/menu/research/description/general_storage;Storage facilities for various native solid materials;;;;Lagerstätten für verschiedene einheimische Feststoffe;;;各种本地固体材料的存储设施;;
gui/menu/research/description/geoscanning_lvl_1;Basic methods of geoscanning provide mapping of underground deposits thus enable better exploitation of them;;;;Grundlegende Methoden des Geoscannings ermöglichen die Kartierung unterirdischer Vorkommen und damit deren bessere Ausbeutung;;;基础地理扫描技术能够绘制地下矿藏分布图，从而实现对资源更高效的开发利用。;;
gui/menu/research/description/geoscanning_lvl_2;Improving geoscanning techniques;;;;Verbesserung der Geoscanning-Techniken;;;改进地质扫描技术;;
gui/menu/research/description/geoscanning_lvl_3;Optimizing geoscanning techniques;;;;Optimierung der Geoscanning-Techniken;;;优化地质扫描技术;;
gui/menu/research/description/geothermal_lvl_1;Provides facilities that enable harnessing geothermal heat energy from active areas like geysers;;;;Stellt Anlagen bereit, die die Nutzung geothermischer Wärmeenergie aus aktiven Gebieten wie Geysiren ermöglichen;;;提供从活跃区域（如地热喷口）获取地热能的设施。;;
gui/menu/research/description/geothermal_lvl_2;Improved and more sophisticated design achieve an higher energy yield from geothermal sources;;;;Verbessertes und ausgefeilteres Design erzielt eine höhere Energieausbeute aus geothermischen Quellen;;;通过更先进、更精密的设计，从地热源获取更高的能量产出。;;
gui/menu/research/description/geothermal_lvl_3;Further optimization in combination with geoscanning allow to achieve even better energy yields but do not work without active scanning stations;;;;Eine weitere Optimierung in Kombination mit Geoscanning ermöglicht noch bessere Energieausbeuten, funktioniert jedoch nicht ohne aktive Scanstationen;;;结合地质扫描的进一步优化，可实现更高的能量产出，但必须在地质扫描站处于激活状态时才能生效。;;
gui/menu/research/description/groundwater_access;Drilling water wells allows to access the local groundwater. Even though this may have low yield it provides access to water in areas with no surface water.;;;;Das Bohren von Wasserbrunnen ermöglicht den Zugang zum lokalen Grundwasser. Auch wenn dies eine geringe Ausbeute haben mag, bietet es Zugang zu Wasser in Gebieten ohne Oberflächenwasser.;;;钻水井可以获取当地地下水。尽管产量可能较低，但它为无地表水的地区提供了水源。;;
gui/menu/research/description/heat_charger;Utilizes extreme heat energy to achieve and maintain highly ionized plasmas But charge separation remains difficult allowing for only low extraction of supercharged plasma;;;;Nutzt extreme Wärmeenergie, um hochionisierte Plasmen zu erzeugen und aufrechtzuerhalten. Die Ladungstrennung bleibt jedoch schwierig, was nur eine geringe Gewinnung von hochgeladenem Plasma zulässt;;;利用极端热能实现并维持高度电离的等离子体。但电荷分离仍然困难，只能少量提取超级带电等离子体;;
gui/menu/research/description/heat_charger_lvl_2;Improves thermal ionization and the consequent charge separation process by application of rhodonite to greatly increase yield;;;;Verbessert die thermische Ionisierung und den daraus resultierenden Ladungstrennungsprozess durch den Einsatz von Rhodonit, um die Ausbeute erheblich zu steigern;;;通过应用蔷薇辉石改进热电离及随后的电荷分离过程，大幅提高产量;;
gui/menu/research/description/heat_charger_lvl_3;Optimizes thermal ionization process by usage of palladium components to maximize yield ;;;;Optimiert den thermischen Ionisierungsprozess durch den Einsatz von Palladiumkomponenten, um die Ausbeute zu maximieren;;;通过使用钯组件优化热电离过程，最大化产量;;
gui/menu/research/description/heavy_water_plant_lvl_2;Improves Deuterium isolation and yield in heavy water production process by improved mass separation;;;;Verbessert die Deuteriumisolierung und -ausbeute im Schwerwasserproduktionsprozess durch verbesserte Massentrennung;;;通过改进的质量分离技术，提升重水生产过程中氘的分离效率与产出量。;;
gui/menu/research/description/heavy_water_plant_lvl_3;Optimized Deuterium isolation and yield in heavy water production process by improved mass separation;;;;Optimierte Deuteriumisolierung und -ausbeute im Schwerwasserproduktionsprozess durch verbesserte Massentrennung;;;通过改进的质量分离技术，提升重水生产过程中氘的分离效率与产出量。;;
gui/menu/research/description/heavy_water_reactor_lvl_2;Enables a Nuclear Power plant variant which is able to use raw uranium. Requires deuterium based heavy water as moderator and coolant.;;;;Ermöglicht eine Variante des Kernkraftwerks, die Rohuran nutzen kann. Erfordert deuteriumbasiertes Schwerwasser als Moderator und Kühlmittel.;;;解锁一种能够使用天然铀的核电站变体。需要使用以氘为基础的重水作为中子减速剂和冷却剂。;;
gui/menu/research/description/heavy_water_reactor_lvl_3;Improved heavy water reactor efficiency & energy and Fissonium Flux yield;;;;Verbesserte Effizienz des Schwerwasserreaktors sowie Energie- und Fissioniumflussausbeute;;;提升重水反应堆的效率、能量产出以及裂变产物（Fissonium）的通量。;;
gui/menu/research/description/high_caliber_weapons;Adds large caliber weaponry to the Riftbreakers arsenal including defensive towers. High caliber weapons offer high single shot damage but at a relative slow rate of fire.;;;;Erweitert das Arsenal der Riftbreakers um großkalibrige Waffen, einschließlich Verteidigungstürme. Großkalibrige Waffen bieten hohen Einzelschussschaden, jedoch bei einer relativ langsamen Feuerrate.;;;为裂谷者的武器库添加大口径武器，包括防御塔。大口径武器单发伤害高，但射速相对较慢。;;
gui/menu/research/description/high_caliber_weapons_lvl_2;Advanced large caliber weaponry better adapted to the planets hazards and available resources for production.;;;;Fortschrittliche großkalibrige Waffen, die besser an die Gefahren des Planeten und die verfügbaren Produktionsressourcen angepasst sind.;;;先进的大口径武器，更好地适应行星危害和可用的生产资源。;;
gui/menu/research/description/high_caliber_weapons_lvl_3;Perfected large caliber weaponry perfectly tailored to the planets hazards and available resources for production.;;;;Perfektionierte großkalibrige Waffen, die perfekt auf die Gefahren des Planeten und die verfügbaren Produktionsressourcen zugeschnitten sind.;;;完善的大口径武器，完美契合行星危害和可用的生产资源。;;
gui/menu/research/description/ionizer_lvl_2;Gas ionization technology enables a more efficient creation of plasma.;;;;Die Gasionisationstechnologie ermöglicht eine effizientere Erzeugung von Plasma.;;;气体电离技术能够更有效地产生等离子体。;;
gui/menu/research/description/ionizer_lvl_3;Optimized ionization methods by injection of trace amounts of palladium enable a high yield plasma production;;;;Optimierte Ionisationsmethoden durch Injektion von Spurenmengen an Palladium ermöglichen eine Plasmaerzeugung mit hohem Ertrag.;;;通过注入微量钯的优化电离方法，实现高产量的等离子体生产。;;
gui/menu/research/description/irradiator_lvl_1;The process of irradiating materials with high energy electromagnetic radiation to produce various unstable isotopes of chemical elements and process it into a indurialized fissium flux for wider application;;;;Der Prozess der Bestrahlung von Materialien mit hochenergetischer elektromagnetischer Strahlung, um verschiedene instabile Isotope chemischer Elemente zu erzeugen und diese zu einem industrialisierten Fissium-Flux für breitere Anwendungsmöglichkeiten zu verarbeiten.;;;利用高能电磁辐射照射材料，产生多种不稳定化学元素的同位素，并将其加工成工业化的裂变通量，以供广泛应用。;;
gui/menu/research/description/irradiator_lvl_2;The process of irradiating materials with high energy electromagnetic radiation to produce various unstable isotopes of chemical elements and process it into a indurialized fissium flux for wider application;;;;Der Prozess der Bestrahlung von Materialien mit hochenergetischer elektromagnetischer Strahlung zur Erzeugung verschiedener instabiler Isotope chemischer Elemente und deren Verarbeitung zu einem industrialisierten Fissium-Fluss für breitere Anwendungsmöglichkeiten;;;利用高能电磁辐射照射材料，产生多种不稳定化学元素的同位素，并将其加工成工业化的裂变通量，以供广泛应用。;;
gui/menu/research/description/irradiator_lvl_3;The process of irradiating materials with high energy electromagnetic radiation to produce various unstable isotopes of chemical elements and process it into a indurialized fissium flux for wider application;;;;Der Prozess der Bestrahlung von Materialien mit hochenergetischer elektromagnetischer Strahlung zur Erzeugung verschiedener instabiler Isotope chemischer Elemente und deren Verarbeitung zu einem industrialisierten Fissium-Fluss für breitere Anwendungsmöglichkeiten;;;利用高能电磁辐射照射材料，产生多种不稳定化学元素的同位素，并将其加工成工业化的裂变通量，以供广泛应用。;;
gui/menu/research/description/liquid_storage_lvl_1;An universal storage silo for liquids, pressurized gasses or plasmas.;;;;;;;;;
gui/menu/research/description/liquid_storage_lvl_2;An universal storage silo for liquids, pressurized gasses or plasmas. This variant is build to withstand larger pressure with a higher capacity but occupies more space;;;;;;;;;
gui/menu/research/description/liquid_storage_lvl_3;An universal storage silo for liquids, pressurized gasses or plasmas. This variant massive reinforced variant has huge capacity but also requires the most space;;;;;;;;;
gui/menu/research/description/mech_upgrade_anti_corrosive_armor_lvl_2;Anti-Corrosive Armor 2;;;;Korrosionsbeständige Rüstung 2;;;抗腐蚀装甲2级;;
gui/menu/research/description/mech_upgrade_anti_corrosive_armor_lvl_3;Anti-Corrosive Armor 3;;;;Korrosionsbeständige Rüstung 3;;;抗腐蚀装甲3级;;
gui/menu/research/description/mech_upgrade_anti_corrosive_armor_lvl_4;Anti-Corrosive Armor 4;;;;Korrosionsbeständige Rüstung 4;;;抗腐蚀装甲4级;;
gui/menu/research/description/mech_upgrade_energy_armor_lvl_2;Energy Armor 2;;;;Energiepanzerung 2;;;能量装甲2级;;
gui/menu/research/description/mech_upgrade_energy_armor_lvl_3;Energy Armor 3;;;;Energiepanzerung 3;;;能量装甲3级;;
gui/menu/research/description/mech_upgrade_energy_armor_lvl_4;Energy Armor 4;;;;Energiepanzerung 4;;;能量装甲4级;;
gui/menu/research/description/mech_upgrade_fireproof_armor_lvl_2;Fireproof Armor 2;;;;Feuerfeste Panzerung 2;;;防火装甲2级;;
gui/menu/research/description/mech_upgrade_fireproof_armor_lvl_3;Fireproof Armor 3;;;;Feuerfeste Panzerung 3;;;防火装甲3级;;
gui/menu/research/description/mech_upgrade_fireproof_armor_lvl_4;Fireproof Armor 4;;;;Feuerfeste Panzerung 4;;;防火装甲4级;;
gui/menu/research/description/mech_upgrade_reflective_armor_lvl_2;Reflective Armor 2;;;;Reflektierende Panzerung 2;;;反射装甲2级;;
gui/menu/research/description/mech_upgrade_reflective_armor_lvl_3;Reflective Armor 3;;;;Reflektierende Panzerung 3;;;反射装甲3级;;
gui/menu/research/description/mech_upgrade_reflective_armor_lvl_4;Reflective Armor 4;;;;Reflektierende Panzerung 4;;;反射装甲4级;;
gui/menu/research/description/mech_weapons_burst_rifle_lvl_2;Burst Rifle – Advanced;;;;Sturmgewehr – Fortgeschritten;;;爆发步枪 - 高级;;
gui/menu/research/description/mech_weapons_burst_rifle_lvl_3;Burst Rifle - Superior;;;;Sturmgewehr – Überlegen;;;爆发步枪 - 卓越;;
gui/menu/research/description/mech_weapons_burst_rifle_lvl_4;Burst Rifle - Extreme;;;;Sturmgewehr – Extrem;;;爆发步枪 - 顶级;;
gui/menu/research/description/mech_weapons_granade_launcher_lvl_2;Grenade Launcher - Advanced;;;;Granatwerfer – Fortgeschritten;;;榴弹发射器 - 高级;;
gui/menu/research/description/mech_weapons_granade_launcher_lvl_3;Grenade Launcher - Superior;;;;Granatwerfer – Überlegen;;;榴弹发射器 - 卓越;;
gui/menu/research/description/mech_weapons_granade_launcher_lvl_4;Grenade Launcher - Extreme;;;;Granatwerfer – Extrem;;;榴弹发射器 - 顶级;;
gui/menu/research/description/mech_weapons_mine_layer_lvl_2;Mine Layer – Advanced;;;;Minenleger – Fortgeschritten;;;布雷器 - 高级;;
gui/menu/research/description/mech_weapons_mine_layer_lvl_3;Mine Layer - Superior;;;;Minenleger – Überlegen;;;布雷器 - 卓越;;
gui/menu/research/description/mech_weapons_mine_layer_lvl_4;Mine Layer - Extreme;;;;Minenleger – Extrem;;;布雷器 - 顶级;;
gui/menu/research/description/mech_weapons_rocket_launcher_lvl_2;Rocket Launcher – Advanced;;;;Raketenwerfer – Fortgeschritten;;;火箭发射器 - 高级;;
gui/menu/research/description/mech_weapons_rocket_launcher_lvl_3;Rocket Launcher - Superior;;;;Raketenwerfer – Überlegen;;;火箭发射器 - 卓越;;
gui/menu/research/description/mech_weapons_rocket_launcher_lvl_4;Rocket Launcher - Extreme;;;;Raketenwerfer – Extrem;;;火箭发射器 - 顶级;;
gui/menu/research/description/mech_weapons_shotgun_lvl_2;Shotgun – Advanced;;;;Schrotflinte – Fortgeschritten;;;霰弹枪 - 高级;;
gui/menu/research/description/mech_weapons_shotgun_lvl_3;Shotgun - Superior;;;;Schrotflinte – Überlegen;;;霰弹枪 - 卓越;;
gui/menu/research/description/mech_weapons_shotgun_lvl_4;Shotgun - Extreme;;;;Schrotflinte – Extrem;;;霰弹枪 - 顶级;;
gui/menu/research/description/mech_weapons_sniper_rifle_lvl_2;90mm Cannon – Advanced;;;;90-mm-Kanone – Fortgeschritten;;;90毫米加农炮 - 高级;;
gui/menu/research/description/mech_weapons_sniper_rifle_lvl_3;90mm Cannon - Superior;;;;90-mm-Kanone – Überlegen;;;90毫米加农炮 - 卓越;;
gui/menu/research/description/mech_weapons_sniper_rifle_lvl_4;90mm Cannon - Extreme;;;;90-mm-Kanone – Extrem;;;90毫米加农炮 - 顶级;;
gui/menu/research/description/metallurgy;Basic metallurgy technology for production of high quality metals and alloys;;;;Grundlegende Metallurgietechnologie zur Herstellung hochwertiger Metalle und Legierungen;;;生产高质量金属和合金的基础冶金技术;;
gui/menu/research/description/metallurgy_lvl_2;Advanced metallurgy technology for production of high quality metals and alloys;;;;Fortgeschrittene Metallurgietechnologie zur Herstellung hochwertiger Metalle und Legierungen;;;生产高质量金属和合金的高级冶金技术;;
gui/menu/research/description/metallurgy_lvl_3;Optimized metallurgy technology for production of high quality metals and alloys;;;;Optimierte Metallurgietechnologie zur Herstellung hochwertiger Metalle und Legierungen;;;生产高质量金属和合金的优化冶金技术;;
gui/menu/research/description/mini_miner;A deployable miner that utilizes onboard batteries to mine surface deposits. Ceases production when it runs out of energy;;;;Ein einsetzbarer Bergbauroboter, der mit Hilfe seiner integrierten Batterien Oberflächenvorkommen abbaut. Stellt die Produktion ein, wenn die Energie aufgebraucht ist.;;;一种可部署的采矿机，利用机载电池开采地表矿床。能量耗尽时停止生产;;
gui/menu/research/description/mini_miner_lvl_2;A improved version of the deployable miner that utilizes onboard batteries to mine surface deposits. Ceases production when it runs out of energy. Improves mining speed and battery time;;;;Eine verbesserte Version des einsetzbaren Bergbauroboters, der mit Hilfe seiner integrierten Batterien Oberflächenvorkommen abbaut. Stellt die Produktion ein, wenn die Energie aufgebraucht ist. Verbessert die Abbaugeschwindigkeit und die Batterielaufzeit.;;;可部署采矿机的改进版本，利用机载电池开采地表矿床。能量耗尽时停止生产。提高了采矿速度和电池续航时间;;
gui/menu/research/description/mini_miner_lvl_3;A optimized version of the deployable miner that utilizes onboard batteries to mine surface deposits. Ceases production when it runs out of energy. Optimized mining speed and battery time;;;;Eine optimierte Version des einsetzbaren Bergbauroboters, der mit Hilfe seiner integrierten Batterien Oberflächenvorkommen abbaut. Stellt die Produktion ein, wenn die Energie aufgebraucht ist. Optimierte Abbaugeschwindigkeit und Akkulaufzeit;;;可部署采矿机的优化版本，利用机载电池开采地表矿床。能量耗尽时停止生产。优化的采矿速度和电池续航时间;;
gui/menu/research/description/mini_miner_lvl_4;A experimental version of the deployable miner that utilizes onboard batteries to mine surface deposits. Ceases production when it runs out of energy. Maximized mining speed and battery time;;;;Eine experimentelle Version des einsetzbaren Bergbaugeräts, das mit Hilfe von integrierten Akkus Oberflächenvorkommen abbaut. Stellt die Produktion ein, wenn die Energie aufgebraucht ist. Maximierte Abbaugeschwindigkeit und Akkulaufzeit;;;可部署采矿机的实验版本，利用机载电池开采地表矿床。能量耗尽时停止生产。最大化的采矿速度和电池续航时间;;
gui/menu/research/description/moisture_trap;Captures moisture from the air and provides low amount of water;;;;Nimmt Feuchtigkeit aus der Luft auf und liefert eine geringe Menge Wasser;;;从空气中捕获水分，提供少量水;;
gui/menu/research/description/moisture_trap_lvl_2;Advanced process using natural hazenite for higher yield capture of water from atmospheric moisture;;;;Fortschrittliches Verfahren unter Verwendung von natürlichem Hazenit für eine ertragreichere Gewinnung von Wasser aus der Luftfeuchtigkeit;;;使用天然黑森矿的高级工艺，从大气水分中更高产量地捕获水;;
gui/menu/research/description/morphium_factory_lvl_1;We found a way to synthetically replicate Morphium utilizing special fragments of the Xmorph tech. We still do not fully understand how they work but that can be saved for later;;;;Wir haben einen Weg gefunden, Morphium mithilfe spezieller Fragmente der Xmorph-Technologie synthetisch nachzubilden. Wir verstehen noch nicht vollständig, wie sie funktionieren, aber das kann für später aufgehoben werden;;;我们发现了一种方法，可以利用Xmorph科技的特殊碎片来人工合成Morphium。我们仍未完全理解其原理，但这可以留待以后研究。;;
gui/menu/research/description/morphium_factory_lvl_2;Improved Morphium Synthesizer;;;;Verbesserter Morphium-Synthesizer;;;改进型形态素合成器;;
gui/menu/research/description/morphium_factory_lvl_3;Optimized Morphium Synthesizer;;;;Optimierter Morphium-Synthesizer;;;优化型形态素合成器;;
gui/menu/research/description/mycelium_processing;Allows Riftbreakers to collect and utilized mycelium biomass from mushroom-like organisms to extract fluorine gas from its fluorine rich biomass;;;;Ermöglicht es Riftbreakers, Myzel-Biomasse von pilzartigen Organismen zu sammeln und zu nutzen, um Fluorgas aus ihrer fluorreichen Biomasse zu extrahieren;;;允许裂谷者收集和利用蘑菇状生物的菌丝体生物质，从其富含氟的生物质中提取氟气;;
gui/menu/research/description/mycelium_processing_lvl_2;Further adaptation for handling of mycelium biomass aimed at achieving better efficiency and bigger fluorine yield;;;;Weitere Anpassung für den Umgang mit Myzel-Biomasse mit dem Ziel, eine bessere Effizienz und eine höhere Fluorausbeute zu erzielen;;;进一步调整处理菌丝体生物质的方法，旨在实现更高的效率和更大的氟产量;;
